hotel_id ,avg_sentiment ,avg_rating ,final_score ,avg_sentiment_score ,num_reviews ,num_reviews_clipped
93340,1.8668,4.7108,4.6669,0.9901,1393,100
224221,1.8585,4.5552,4.6462,0.9879,1682,100
113317,1.8459,4.4336,4.6149,0.9906,2340,100
1503474,1.8425,4.7154,4.6063,0.9822,1842,100
84502,1.8397,4.4977,4.5992,0.984,1275,100
99762,1.8357,4.5367,4.5892,0.984,1404,100
1566945,1.8287,4.224,4.5717,0.9822,1042,100
93457,1.825,4.7089,4.5624,0.9841,2198,100
93338,1.8155,4.3489,4.5389,0.9867,1348,100
100507,1.8116,4.6613,4.5291,0.9879,1049,100
292142,1.8075,4.6213,4.5187,0.9836,2247,100
1218792,1.8065,4.5681,4.5163,0.9821,1903,100
99352,1.8037,4.6033,4.5093,0.9755,2657,100
1465162,1.8013,4.6635,4.5033,0.9853,1913,100
258705,1.8002,4.1508,4.5005,0.9898,1532,100
217498,1.7944,4.5403,4.486,0.9871,1401,100
224948,1.7927,4.5445,4.4817,0.9853,1564,100
208454,1.7907,4.7144,4.4768,0.9799,2898,100
115644,1.7791,4.2535,4.4477,0.9783,2601,100
578305,1.7743,4.5819,4.4356,0.9833,1032,100
81394,1.771,4.5375,4.4274,0.9851,1476,100
93346,1.7694,4.0952,4.4234,0.9727,2816,100
1456416,1.7583,4.5817,4.3958,0.9868,1118,100
266157,1.7544,4.247,4.386,0.9855,1543,100
93396,1.7508,3.0495,4.377,0.9869,1057,100
93589,1.7464,4.2194,4.3661,0.9867,1239,100
2079052,1.7439,4.1967,4.3597,0.9829,2289,100
235513,1.7357,3.9726,4.3393,0.9863,1267,100
1456560,1.7332,4.9608,4.3331,0.9839,1097,100
80780,1.7317,4.2556,4.3292,0.9806,1346,100
114134,1.7313,4.4265,4.3283,0.9842,1608,100
99392,1.7305,4.1818,4.3263,0.9788,1665,100
223024,1.7275,4.2292,4.3188,0.9819,1195,100
236299,1.7273,4.2875,4.3184,0.9881,1316,100
93435,1.7185,3.6877,4.2963,0.9747,1388,100
1158753,1.7174,3.9954,4.2936,0.9876,1200,100
83040,1.7167,4.6172,4.2918,0.9839,1523,100
217844,1.7124,4.495,4.281,0.9891,1577,100
94371,1.7084,4.358,4.271,0.9798,1126,100
93358,1.7029,3.7375,4.2574,0.9773,2641,100
224214,1.7,4.4728,4.25,0.9787,1177,100
321151,1.6897,4.7363,4.2243,0.9821,1440,100
93569,1.6889,4.0383,4.2222,0.982,2886,100
93352,1.6885,4.0544,4.2212,0.9814,2550,100
113300,1.68,3.4877,4.2,0.9793,1008,100
217616,1.6724,4.4907,4.1809,0.9858,1269,100
122343,1.6699,4.2437,4.1747,0.9863,1062,100
268533,1.6686,4.5858,4.1715,0.9771,2360,100
502408,1.6671,4.2013,4.1676,0.9739,1298,100
126260,1.6665,4.6286,4.1661,0.9785,2175,100
99535,1.659,4.6741,4.1476,0.9783,1253,100
126257,1.6566,4.0671,4.1415,0.9693,1044,100
612263,1.6563,3.0847,4.1408,0.9784,1477,100
80925,1.6525,4.3213,4.1312,0.9816,1310,100
81019,1.6403,3.4275,4.1007,0.9729,1533,100
84093,1.6384,4.256,4.0961,0.979,1855,100
93543,1.6384,3.8365,4.0961,0.9862,1793,100
122005,1.6364,4.2587,4.091,0.9749,3726,100
93622,1.6362,3.3262,4.0905,0.9786,1022,100
93516,1.6304,4.2292,4.0761,0.966,2782,100
93379,1.6241,3.8679,4.0602,0.9755,1002,100
81169,1.6183,4.4019,4.0456,0.9734,1224,100
1646128,1.6062,4.7179,4.0155,0.9774,1284,100
208453,1.6043,4.3226,4.0106,0.9755,1688,100
114942,1.6022,4.6204,4.0056,0.9759,1084,100
217813,1.5988,4.4394,3.9971,0.9797,1054,100
99425,1.593,3.2018,3.9824,0.9791,1010,100
80668,1.5883,4.5464,3.9707,0.9863,1168,100
630409,1.5871,3.9819,3.9677,0.9801,1331,100
217626,1.582,4.656,3.955,0.9862,1015,100
209382,1.5809,4.0126,3.9522,0.9738,1386,100
109413,1.5728,4.8167,3.932,0.9817,1605,100
99288,1.5714,4.5128,3.9285,0.9758,2378,100
112064,1.5698,4.7822,3.9245,0.978,1250,100
518280,1.5689,3.9387,3.9222,0.9661,1383,100
93571,1.5682,4.2475,3.9205,0.9744,1084,100
665258,1.5644,4.1475,3.911,0.9729,1154,100
224223,1.5638,4.0316,3.9095,0.9717,1010,100
114595,1.5632,4.7586,3.908,0.9798,1175,100
80793,1.5551,4.2015,3.8877,0.9688,1440,100
93562,1.5469,4.4005,3.8673,0.9766,3170,100
249712,1.5438,3.9876,3.8595,0.9733,2865,100
113905,1.5419,4.29,3.8547,0.9775,1054,100
93390,1.5363,3.7843,3.8407,0.973,1448,100
93507,1.5301,4.3959,3.8252,0.9769,2839,100
93437,1.5157,3.3723,3.7893,0.9759,3034,100
89599,1.5153,4.2213,3.7883,0.9849,1929,100
93345,1.511,3.4444,3.7774,0.9711,1128,100
81397,1.5022,3.6653,3.7556,0.9764,1330,100
262330,1.5021,4.5597,3.7553,0.9653,1568,100
78694,1.4999,4.3327,3.7496,0.9694,1053,100
80999,1.4956,4.0372,3.7391,0.9705,1250,100
290978,1.4948,3.4969,3.7371,0.9633,1489,100
93454,1.4937,4.285,3.7343,0.979,2582,100
676408,1.4882,4.7547,3.7204,0.9746,1078,100
1601249,1.4779,4.643,3.6948,0.9653,1238,100
87638,1.4691,4.4784,3.6729,0.9838,1662,100
93517,1.4645,4.2595,3.6612,0.9678,2273,100
114581,1.4628,4.0477,3.6571,0.9791,1085,100
89617,1.4593,4.289,3.6482,0.9762,1173,100
78046,1.4571,3.8485,3.6426,0.9654,1407,100
100562,1.4559,4.5931,3.6399,0.9717,1321,100
83646,1.455,4.0278,3.6375,0.9861,1004,100
235238,1.4484,3.8231,3.6211,0.9708,1650,100
81192,1.4464,3.751,3.6159,0.9689,2486,100
93579,1.4376,3.7836,3.5941,0.9763,1203,100
81315,1.43,4.5705,3.5749,0.9779,1120,100
99766,1.4282,3.9796,3.5704,0.9758,3218,100
84087,1.4279,3.9866,3.5696,0.9793,1375,100
99307,1.4273,3.7879,3.5684,0.9732,2783,100
90985,1.4165,4.2565,3.5414,0.9815,1036,100
81103,1.4122,4.0081,3.5306,0.9804,1070,100
87620,1.4035,4.0239,3.5087,0.975,1332,100
93462,1.4021,3.5509,3.5053,0.9654,2090,100
220240,1.4009,4.1352,3.5023,0.973,1040,100
93464,1.3975,3.5934,3.4938,0.9784,2358,100
80602,1.3917,3.1791,3.4793,0.9833,1243,100
115617,1.3898,4.594,3.4746,0.9804,1101,100
81042,1.382,3.1508,3.4551,0.9719,1213,100
111501,1.3672,4.0149,3.418,0.9773,2675,100
654030,1.3592,3.9745,3.398,0.9759,1215,100
89602,1.3429,4.0816,3.3572,0.9676,1314,100
81222,1.3387,4.0106,3.3468,0.9687,1078,100
93450,1.3376,4.0377,3.344,0.9793,2867,100
93520,1.3373,3.2482,3.3433,0.9752,4009,100
80219,1.3371,4.4545,3.3427,0.9776,1479,100
93486,1.3323,3.5159,3.3307,0.9724,2044,100
93618,1.3316,3.4997,3.329,0.9765,3534,100
93545,1.3238,3.6161,3.3094,0.9701,1129,100
81377,1.3161,4.1249,3.2903,0.9787,1053,100
115484,1.3099,4.3089,3.2747,0.9835,1124,100
84167,1.304,3.817,3.2599,0.9731,1359,100
87617,1.3028,3.3514,3.257,0.9759,2305,100
1938661,1.3019,3.2464,3.2549,0.9628,1642,100
611947,1.2927,3.4722,3.2319,0.9635,3004,100
93526,1.2848,3.2553,3.2121,0.9661,1149,100
100570,1.2821,4.0491,3.2053,0.9657,1392,100
81295,1.2772,3.4723,3.1929,0.9605,2336,100
93344,1.2736,3.4963,3.1839,0.9658,1558,100
81375,1.2665,3.176,3.1664,0.9605,1553,100
80562,1.2478,3.7606,3.1195,0.9698,1568,100
112328,1.2399,4.4718,3.0998,0.9756,1139,100
77866,1.2378,3.5644,3.0946,0.9687,1022,100
208191,1.2375,4.2168,3.0936,0.9732,1323,100
119443,1.2279,3.3957,3.0697,0.9739,1297,100
93466,1.2234,3.7446,3.0585,0.9759,1832,100
119728,1.2232,3.6325,3.0581,0.9793,1650,100
75711,1.2008,3.2644,3.002,0.9722,1024,100
87590,1.1821,3.8813,2.9552,0.9772,1226,100
223049,1.1642,4.1098,2.9104,0.9707,1027,100
81461,1.1522,3.4537,2.8805,0.9777,1923,100
77874,1.1515,3.7088,2.8787,0.9694,1073,100
223023,1.1425,3.4124,2.8562,0.9724,3385,100
77274,1.1307,3.0693,2.8268,0.9691,1101,100
111418,1.1052,3.6041,2.763,0.9747,2091,100
112066,1.0983,4.1398,2.7458,0.9754,2042,100
214197,1.0341,2.6988,2.5851,0.9695,5456,100
93421,0.9284,2.7013,2.321,0.9651,2320,100
